Site,Sample Name,Description,Time,OC,VM_1,Moisture,NOS,Oil Content,Moisture_1,FFA
KNM-Kunak Mill,190410_SC_03_(01)_1700,YAKUB,5:00 PM,0,0,89.0289744275862,6.39759738748283,4.50676233037747,0,0
KNM-Kunak Mill,190416_CF1_01_(01)_1054,HAMSAH,10:54 AM,0,0,0,0,4.93439185219844,36.4264277580941,0
KNM-Kunak Mill,190416_CF1_02_(01)_1424,YAKUB,2:24 PM,0,0,0,0,5.36278196533994,35.9522243915483,0
KNM-Kunak Mill,190416_CF1_03_(01)_1500,YAKUB,3:00 PM,0,0,0,0,4.76413444700463,33.1300513815943,0
KNM-Kunak Mill,190416_CF1_04_(01)_0216,YAKUB,2:16 AM,0,0,0,0,5.08044982091982,35.3996423475794,0
KNM-Kunak Mill,190416_CF1_05_(01)_0326,YAKUB,3:26 AM,0,0,0,0,4.39635769158744,36.4316846994234,0
KNM-Kunak Mill,190416_DC1_01_(01)_1113,HAMSAH,11:13 AM,4.45022992043691,77.2848752520187,0,0,0,0,0
KNM-Kunak Mill,190416_DC1_02_(01)_1518,YAKUB,3:18 PM,3.16699360330075,74.0800266976774,0,0,0,0,0
KNM-Kunak Mill,190416_DC1_03_(01)_1637,YAKUB,4:37 PM,3.10737166001404,72.2224931325487,0,0,0,0,0
KNM-Kunak Mill,190416_DC1_04_(01)_0219,YAKUB,2:19 AM,3.20996694984396,73.9874523135526,0,0,0,0,0
KNM-Kunak Mill,190416_DC1_05_(01)_0259,YAKUB,2:59 AM,3.20977349936394,71.645835036345,0,0,0,0,0
KNM-Kunak Mill,190416_DC1_06_(01)_0408,YAKUB,4:08 AM,3.23166357424069,71.1568709550837,0,0,0,0,0
KNM-Kunak Mill,190416_DCOA_01_(01)_1108,HAMSAH,11:08 AM,0,0,62.1091080176863,-0.202665837726071,38.1240587798352,0,0
KNM-Kunak Mill,190416_DCOA_02_(01)_1514,YAKUB,3:14 PM,0,0,46.4328502716873,8.34998252572695,45.8498334974507,0,0
KNM-Kunak Mill,190416_DCOA_03_(01)_1634,YAKUB,4:34 PM,0,0,26.2455106790073,3.17247216825717,71.5412212336406,0,0
KNM-Kunak Mill,190416_DCOA_04_(01)_0213,YAKUB,2:13 AM,0,0,56.2181400307184,3.55515128627833,40.4907786057484,0,0
KNM-Kunak Mill,190416_DCOA_05_(01)_0322,YAKUB,3:22 AM,0,0,54.7009640086792,12.5260280374994,33.3165895806541,0,0
KNM-Kunak Mill,190416_DCOB_01_(01)_0640,HAMSAH,6:40 AM,0,0,46.9259142475311,4.321312127816,49.5654236980213,0,0
KNM-Kunak Mill,190416_EFB_01_(01)_0252,HAMSAH,2:52 AM,3.22175192059257,56.613655557093,0,0,0,0,0
KNM-Kunak Mill,190416_HPD1_01_(01)_1100,HAMSAH,11:00 AM,0,0,92.9269201540662,5.8776824724551,1.1947642568872,0,0
KNM-Kunak Mill,190416_HPD1_02_(01)_1508,YAKUB,3:08 PM,0,0,92.7362645577735,5.68382342378217,1.57859285727083,0,0
KNM-Kunak Mill,190416_HPD1_03_(01)_1628,YAKUB,4:28 PM,0,0,91.6975420196607,6.65595236501084,1.67425543305887,0,0
KNM-Kunak Mill,190416_HPD1_04_(01)_0210,YAKUB,2:10 AM,0,0,92.4179344642,6.95474306368848,0.653003694870791,0,0
KNM-Kunak Mill,190416_HPD1_05_(01)_0315,YAKUB,3:15 AM,0,0,92.3166967951222,6.59363389447842,1.08973657530887,0,0
KNM-Kunak Mill,190416_PCF1_02_(01)_0138,ALAN,1:38 AM,0,0,0,0,4.26480470733048,39.7849230111144,0
KNM-Kunak Mill,190416_PCF1_03_(01)_0255,ALAN,2:55 AM,0,0,0,0,4.19197503550551,37.4760460026163,0
KNM-Kunak Mill,190416_PCF2_01_(01)_1145,YAKUB,11:45 AM,0,0,0,0,4.14615603584746,39.0586710700813,0
KNM-Kunak Mill,190416_PCF2_01_(01)_1155,HAMSAH,11:55 AM,0,0,0,0,5.11628001249554,43.4861437755649,0
